date,State,cases,deaths,population,new_cases,new_deaths,cases_per_100k,deaths_per_100k,new_cases_per_100k,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,overall_pct_change,AREA_SQMI,White,IncomePerCap,Poverty,ChildPoverty,Service,Production,dem_gop_diff_16,FBFilterBubble
2020-05-13,FL,42312,1827,21477737,620.2857142857143,41.714285714285715,197.0039953464371,8.506482782613457,2.8880403661042795,US-FL,,-29.0,-13.0,-21.0,-47.0,-39.0,15.0,-23.690476190476197,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-14,FL,43133,1875,21477737,619.7142857142857,39.857142857142854,200.82655821700396,8.72997001499739,2.8853798038139944,US-FL,,-31.0,-13.0,-29.0,-48.0,-39.0,13.0,-23.83333333333334,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-15,FL,44056,1917,21477737,699.0,35.714285714285715,205.1240314563867,8.925521343333331,3.254532821591027,US-FL,,-33.0,-14.0,-34.0,-50.0,-39.0,17.0,-24.309523809523817,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-16,FL,44731,1963,21477737,683.1428571428571,35.714285714285715,208.26682066178574,9.139696607701268,3.180702218035621,US-FL,,-32.0,-12.0,-28.0,-50.0,-26.0,9.0,-24.52380952380953,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-17,FL,45506,1973,21477737,709.0,36.285714285714285,211.87520826798465,9.186256447781254,3.3010926616710132,US-FL,,-33.0,-15.0,-20.0,-53.0,-28.0,9.0,-23.714285714285722,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-18,FL,46357,1996,21477737,775.4285714285714,37.285714285714285,215.83745065879148,9.293344079965221,3.6103830279166353,US-FL,,-31.0,-18.0,-42.0,-50.0,-37.0,14.0,-24.095238095238106,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-19,FL,46861,2051,21477737,719.1428571428571,38.857142857142854,218.18406659882277,9.549423200405146,3.3483176423235705,US-FL,,-26.0,-10.0,-27.0,-46.0,-37.0,14.0,-24.023809523809536,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-20,FL,47390,2094,21477737,725.4285714285714,38.142857142857146,220.64708213905405,9.749630512749086,3.377583827516705,US-FL,,-25.0,-12.0,-20.0,-45.0,-37.0,14.0,-23.80952380952382,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-21,FL,48589,2144,21477737,779.4285714285714,38.42857142857143,226.22960696464438,9.982429713149015,3.6290069639486298,US-FL,,-26.0,-11.0,-22.0,-44.0,-37.0,14.0,-23.30952380952382,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-22,FL,49363,2189,21477737,758.1428571428571,38.857142857142854,229.83333858683528,10.191948993508953,3.5299010186355164,US-FL,,-26.0,-8.0,-16.0,-43.0,-36.0,14.0,-22.404761904761916,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
